NOUN	WIKICONLL	ITWAC	REPUBBLICA
listino	0	0	54
strage	0	3	6
dinasty	0	0	1
terrorismo	0	3	5
elezioni	5	88	197
ginevra	0	0	11
novelli	0	0	6
cuccia	0	0	20
neve	0	1	1
cernienko	0	0	5
buscetta	0	0	4
tito	0	0	12
breznev	0	0	10
fassbinder	0	0	4
blitz	0	1	1
voto	0	61	121
sfiducia	0	0	1
condono	0	0	1
maggio	0	1	3
stalin	0	0	11
kruscev	0	0	3
weekend	0	0	1
terremoto	2	35	154
helsinki	0	0	1
crack	0	0	7
consiglio	0	1	1
partita	8	96	141
lama	0	0	6
pertini	0	0	2
cena	0	45	15
fixing	0	0	11
concilio	0	18	9
rossi	0	0	2
sanremo	0	4	5
franco	0	0	24
hoxha	0	0	4
scala	0	5	9
calvi	0	0	4
moro	0	0	5
crisi	1	7	32
natta	0	0	4
cassa	0	0	3
yalta	0	1	14
referendum	0	21	58
bruxelles	0	0	2
einaudi	0	0	1
zanone	0	0	10
carniti	0	0	5
esami	0	1	1
mao	0	0	7
teatro	0	9	13
croce	0	0	2
corea	0	0	4
mundial	0	1	10
catastrofe	0	1	5
ferie	0	6	13
serena	0	0	2
svalutazione	0	0	1
falcao	0	0	1
massacro	0	0	1
loreto	0	0	1
impegno	0	0	1
bomba	0	11	5
fusione	0	0	3
vietnam	2	0	10
burghiba	0	0	7
pensione	0	0	1
sequestro	0	0	6
sessantotto	0	2	9
mitterrand	0	0	6
pentapartito	0	0	4
summit	0	0	6
nicolazzi	0	0	1
chiave	0	0	1
schmidt	0	0	2
marcos	0	0	4
sci	0	10	6
borsa	0	3	23
craxi	0	0	22
trapianto	0	0	2
thatcher	0	0	8
nantes	0	0	1
contestazione	0	0	1
trapattoni	0	0	7
attentato	0	7	3
congresso	0	5	19
cinema	0	7	2
berlinguer	0	0	3
casale	0	0	2
metanolo	0	0	2
nimeiri	0	0	1
fascismo	1	6	5
de	1	0	11
lauro	0	0	1
sigonella	0	0	2
assemblea	0	0	3
chernobyl	0	0	23
gaston	0	0	1
franchi	0	0	1
premiazione	0	0	2
guatemala	0	0	1
guerra	60	396	94
nube	0	0	1
bulgaria	0	0	1
gol	0	1	4
spagna	0	0	3
francia	0	0	2
shock	0	1	2
carcere	0	10	1
calcio	0	1	9
reagan	0	0	25
messico	0	0	4
platini	0	0	5
brandt	0	0	1
trap	0	0	3
monza	0	0	1
pinochet	1	0	12
portoghesi	0	0	2
sinatra	0	0	1
bearzot	0	0	3
reykjavik	0	0	17
staffetta	0	0	6
yamani	0	0	4
tokyo	0	0	1
vienna	0	0	1
tognoli	0	0	3
khomeini	0	0	13
maccanico	0	0	2
waldheim	0	0	1
oliva	0	0	1
teresa	0	0	1
rinascita	0	0	1
pranzo	0	16	1
nozze	0	0	1
fantastico	0	0	3
ravera	0	0	1
pacchetto	0	0	4
liedholm	0	0	2
sentenza	0	2	4
vittoria	0	0	3
crac	0	0	6
antonioni	0	0	2
caccia	0	0	1
coppa	0	0	6
iran	0	0	1
p	0	0	2
trionfo	0	0	2
milan	0	0	3
meneghin	0	0	2
catena	0	0	1
radice	0	0	1
gorbaciov	0	0	8
campionato	0	0	1
fanfani	0	0	1
tragedia	0	0	5
contratto	0	0	2
mondiale	0	0	18
spadolini	0	0	2
kadar	0	0	2
nicolini	0	0	1
baudo	0	0	8
vertice	0	2	8
opera	0	0	3
orlando	0	0	6
lavoro	2	26	3
alluvione	0	8	21
scudetto	0	4	4
firenze	0	0	1
ballo	1	0	1
olanda	0	0	1
meeting	0	0	1
magnago	0	0	1
rivolta	0	2	4
opa	0	0	3
formigoni	0	0	1
rissa	0	2	1
almirante	0	0	4
terme	0	0	1
droga	0	0	2
asta	0	0	3
euromissili	0	0	2
manfredonia	0	0	1
sedan	0	0	1
atomo	0	0	2
schimberni	0	0	3
mercato	0	1	11
riforma	0	5	7
lucchini	0	0	2
disgelo	0	0	4
sisma	2	2	12
celentano	0	0	3
ritiro	0	7	1
goria	0	0	18
giunta	0	0	2
cernobyl	0	0	3
zavoli	0	0	1
crash	0	0	3
auschwitz	0	0	2
ormoni	0	0	1
finanziaria	0	1	8
tempesta	0	0	2
moser	0	0	1
gullit	0	0	4
nebiolo	0	0	2
master	0	0	1
oscar	0	0	8
montalto	0	0	1
leva	0	0	1
pianta	0	0	1
qualificazione	0	1	2
barre	0	0	6
capanna	0	0	2
panda	0	0	1
rivoluzione	0	2	4
sciopero	1	0	3
gara	9	36	11
primarie	0	1	1
raid	0	0	1
golpe	0	0	25
cobas	0	0	1
nordio	0	0	4
crimea	0	0	1
ferragosto	0	2	6
vacanze	0	3	9
rilascio	0	0	1
scorsese	0	0	1
cirillo	0	0	1
concerto	1	19	7
falkland	0	0	2
gentile	0	0	1
zambia	0	0	2
como	0	0	1
hitler	1	0	3
eltsin	0	0	14
giochi	0	1	1
fiat	0	0	10
petrolio	0	11	3
dibattito	0	0	1
italtel	0	0	1
superga	0	3	2
pizzinato	0	0	5
zia	0	0	1
sconfitta	1	5	4
dimissioni	0	1	2
ghidella	0	0	2
ligato	0	0	3
trasmissione	0	1	3
beatles	0	0	7
tregua	0	0	1
peterson	0	0	1
diga	0	0	1
emergenza	0	4	4
cruyff	0	0	1
occupazione	0	1	2
impressionismo	0	0	1
sanchez	0	0	1
afghanistan	0	0	1
cambogia	0	0	1
europeo	0	0	1
giubilo	0	0	1
laurea	0	2	1
turbo	0	0	1
luisa	0	0	1
scià	0	0	1
coppi	0	0	1
accordo	0	0	2
deng	0	0	38
goethe	0	0	1
jaruzelski	0	0	2
dittatura	1	7	5
new	0	0	1
stadio	0	0	1
fellini	0	0	3
berger	0	0	1
karajan	0	0	11
pink	0	0	1
tortora	0	0	3
perestrojka	0	1	7
castro	0	0	3
corsa	0	3	4
match	0	4	7
gand	0	0	1
scandalo	0	1	3
olimpiadi	2	3	5
johnson	0	0	2
prigione	0	0	1
cantoni	0	0	1
enimont	0	0	5
bush	0	0	1
riva	0	0	1
batman	0	0	1
tienanmen	0	0	10
rabbit	0	0	1
cesena	0	0	1
honecker	0	0	1
spettacolo	0	5	7
napoli	0	0	1
distensione	0	0	1
jabbar	0	0	1
wembley	0	0	2
pci	0	0	6
jalta	0	0	5
atalanta	0	0	2
elezione	0	0	3
malta	0	0	1
socialismo	0	0	6
vialli	0	0	6
longo	0	0	1
ceausescu	0	0	12
riscatto	0	0	1
bergamo	0	0	1
agnes	0	0	2
boniperti	0	0	3
rinaldi	0	0	1
morte	0	7	2
unità	0	1	2
bianco	0	0	1
seduta	0	0	1
noriega	0	0	1
amadeus	0	0	1
furto	0	0	1
muro	0	10	38
discoteca	1	24	26
brecht	0	0	2
fininvest	0	0	1
piovra	0	0	1
camper	0	0	1
pasqua	0	2	4
conflitto	0	16	5
maifredi	0	0	2
bacon	0	0	1
mondiali	0	0	1
contratti	0	0	1
riunificazione	0	1	7
basket	0	0	1
estate	0	2	5
quotazione	0	0	1
saddam	1	1	25
palio	0	1	1
olimpiade	0	1	1
legge	0	1	2
resistenza	0	0	6
liberazione	3	4	6
invasione	2	2	4
hussein	0	0	4
mammì	0	0	2
atlanta	0	0	7
processo	0	0	1
lombardfin	0	0	1
unificazione	0	1	1
fabbri	0	0	1
argentina	0	0	1
rimini	0	0	2
maradona	0	0	14
erasmus	0	0	1
cantine	0	0	1
gluck	0	0	1
kuwait	0	0	1
mogol	0	0	2
shevardnadze	0	0	1
feste	0	2	1
siad	0	0	3
berlusconi	0	4	27
sarcinelli	0	0	3
alga	0	0	1
attacco	0	3	2
vassalli	0	0	2
golfo	0	0	14
carnevale	0	0	1
regime	0	2	2
naufragio	0	0	1
andreotti	0	0	4
stangata	0	0	1
mohammed	0	0	1
barucci	0	0	1
imola	0	0	1
cariglia	0	0	1
proiezione	0	0	1
apartheid	0	10	5
esplosione	0	3	1
opec	0	0	2
gardini	0	0	3
danimarca	0	0	1
tacconi	0	0	1
malattia	0	1	2
rauti	0	0	1
cronometro	0	0	1
tour	0	0	1
comunismo	0	2	11
giro	0	1	1
beffa	0	0	1
grassi	0	0	1
urss	0	0	13
dc	0	0	5
longarini	0	0	1
colpo	0	0	1
agnelli	0	0	8
cattani	0	0	1
coppe	0	0	1
cska	0	0	1
prost	0	0	1
sugar	0	0	1
eroi	0	0	1
quirinale	0	0	6
brescia	0	0	2
rapimento	0	0	1
maxwell	0	0	1
napoleone	0	0	1
maastricht	0	0	24
scuola	0	83	5
benvenuti	0	0	1
sosta	0	1	1
hiroshima	0	0	2
pininfarina	0	0	1
lima	0	0	5
bagnoli	0	0	1
barba	0	7	7
gheddafi	0	0	1
cossiga	0	0	3
kinnock	0	0	1
marcinkus	0	0	1
mannino	0	0	1
hollywood	0	0	2
milano	0	0	1
expo	0	0	4
forlani	0	0	3
plaza	0	0	1
copenaghen	0	0	1
csi	0	0	1
