NOUN	WIKICONLL	ITWAC	REPUBBLICA
borghesia	0	12	4
milionario	0	1	2
beat	0	0	1
distensione	0	0	1
presidente	42	378	460
liberalismo	4	65	10
capitalismo	1	26	20
realismo	6	54	38
fascisti	2	6	42
gollisti	0	2	50
separatismo	0	0	3
ricco	0	0	1
pentito	0	0	9
liberismo	0	288	37
centrismo	0	12	18
fascismo	1	35	25
autoritarismo	0	11	5
marxista	2	0	1
psichedelia	5	4	5
elettori	0	4	3
liberale	0	0	7
nazisti	4	68	77
natale	0	2	1
tatuaggio	0	0	1
classicismo	12	21	15
integralismo	0	2	4
centralismo	0	68	6
amministratore	0	8	33
illuministi	0	6	3
razionalisti	0	0	1
campione	19	35	20
campioni	4	11	14
eletto	33	213	62
deputata	0	0	4
consiglieri	0	6	22
cardinali	0	2	2
capitalista	0	1	3
cardinale	0	3	10
liberali	2	40	11
classicista	1	1	4
direttore	8	73	116
sottosegretario	0	14	19
tecnico	6	20	3
consigliere	0	19	25
fascista	0	5	9
espressionismo	5	16	15
professionista	2	12	10
capitano	6	6	2
contrattualismo	0	13	4
conservatorismo	2	32	6
patriarcato	0	0	1
senatore	4	11	44
segretario	3	34	86
interista	0	7	1
promosso	14	11	10
bipolarismo	0	0	2
ambasciatore	0	7	27
ortodossia	1	0	3
partner	0	2	1
sindaco	3	58	69
banchieri	0	0	1
promosse	2	0	9
stalinista	0	0	2
marxismo	0	13	4
nazista	4	56	16
primatista	0	5	4
classica	1	0	6
barone	1	1	1
autore	0	7	1
sionismo	0	0	1
eletta	1	6	9
regista	1	22	24
reginetta	0	3	2
meridionalismo	0	0	2
signor	0	0	1
empirismo	0	5	1
ministro	2	164	272
professionisti	3	10	6
conservatori	3	270	15
avanguardia	7	70	43
romanticismo	5	16	4
impressionismo	2	20	3
milionari	0	1	2
eletti	4	67	21
erotismo	0	0	1
acquisto	23	68	31
nazionalismo	0	8	16
amleto	0	0	1
vicepresidente	1	7	16
deputati	0	7	5
antisemitismo	0	4	2
premio	0	3	8
liberisti	2	19	13
privatizzazione	0	0	1
protezionismo	0	8	4
umanesimo	0	11	6
individualismo	0	2	4
fondazione	0	2	1
investitura	0	0	1
ballerina	0	0	1
industriale	0	0	3
fasciste	0	2	1
globalismo	0	2	1
università	0	1	1
darwinismo	3	24	3
proprietario	1	3	6
diplomati	0	86	20
tv	1	12	11
questori	0	0	1
gollismo	1	3	6
medico	0	1	2
gollista	0	2	37
conservatore	0	54	9
principessa	0	3	4
opposizione	0	1	1
manager	0	1	5
signora	0	3	4
alleati	1	1	5
maggioranza	0	2	2
dottoressa	0	13	1
pensionati	0	9	4
laureati	4	432	54
creatori	0	0	1
punk	0	0	5
bop	0	0	2
iscritto	0	4	3
politica	0	4	1
radicale	0	0	1
promossi	2	5	3
destra	1	2	1
assunti	0	433	51
socio	0	4	3
azionisti	0	0	9
rococò	0	0	5
imperatrice	0	0	2
assessore	1	55	21
yuppies	0	0	4
dogmatismo	0	1	1
liberista	1	25	11
padre	0	6	6
riformismo	0	4	3
leader	1	11	19
attori	0	3	1
conservatrice	0	3	3
comunione	0	0	1
verdi	0	0	1
capogabinetto	0	0	1
programmatori	0	2	1
socialisti	1	4	4
socialista	0	0	6
donne	0	1	1
liberty	1	0	2
surrealisti	0	0	1
nata	11	0	2
elette	1	1	2
titolare	0	0	1
juventini	0	0	1
indifferenza	0	0	1
giornalismo	0	3	1
informazione	0	0	1
metafisico	0	0	1
deputato	1	11	22
riformisti	0	4	2
borghese	0	0	1
azionista	0	1	4
barocca	1	0	2
candidati	0	2	1
epigoni	0	0	1
realisti	2	3	4
formazioni	0	7	1
moglie	8	7	7
ministri	0	6	18
cubismo	2	0	12
pragmatismo	2	6	2
avanguardie	4	39	10
divismo	0	0	1
gruppo	1	1	2
esistenzialismo	0	0	1
coniugi	1	2	3
barocco	0	0	2
marito	11	12	7
nobel	0	0	3
commissario	0	28	19
rettore	0	1	1
colonialismo	6	84	10
integralisti	0	0	1
qualunquista	0	0	2
qualunquisti	0	0	4
mecenati	0	0	2
consiglio	0	0	1
qualunquismo	0	2	1
bayreuth	0	0	1
conformismo	0	1	2
cavaliere	1	6	3
oppositori	0	0	3
misticismo	0	7	1
impressionisti	2	11	5
parlamentari	0	2	5
rinascimento	3	7	3
dottore	0	15	10
miliardari	0	1	7
mecenate	0	0	1
protestantesimo	0	4	1
poeta	0	1	1
europeismo	0	0	2
puritanesimo	0	0	3
romantica	0	0	2
capo	0	10	17
gotico	4	0	1
governo	1	13	4
moralismo	0	0	5
autori	0	1	1
razzismo	0	8	5
segretari	0	0	1
compromesso	0	0	1
nazismo	0	14	12
documentari	0	0	1
cineasti	0	2	1
san	0	0	1
sindacato	0	0	2
iscritti	0	28	4
giornalista	0	3	2
comandante	0	6	3
mamma	1	99	14
alto	1	0	1
prefetto	0	6	4
recordman	0	0	3
isolazionismo	0	9	7
kitsch	0	0	3
responsabile	0	10	13
premier	2	43	62
platonismo	8	20	3
inquilino	0	0	3
televisione	0	16	7
stato	2	0	2
giacobini	2	1	2
idealismo	2	29	5
hegelismo	0	5	1
agenti	0	1	1
testosterone	0	0	2
imprenditore	0	46	5
taylorismo	0	2	2
corporativismo	0	16	5
hippies	0	5	3
laureato	0	95	10
questo	0	0	1
nominato	3	0	10
pro	0	0	14
stalinismo	1	1	2
lance	0	0	2
assunto	4	127	7
neorealismo	2	7	27
romantico	0	3	2
illuminismo	0	15	6
contabili	0	0	1
parlamentarismo	0	1	5
italiano	0	1	6
magistrati	0	1	2
povertà	0	0	1
mandarini	0	0	1
parlamentare	0	0	7
divo	0	5	1
padrone	0	2	4
allenatore	15	16	4
classico	1	0	7
coreografo	0	0	1
liberal	0	8	3
clericalismo	0	10	1
decisionismo	0	0	2
anima	0	0	1
giuseppe	0	0	1
cittadino	0	3	2
paganesimo	4	42	7
custode	0	0	2
piloti	0	0	2
madre	0	3	4
doroteo	0	0	1
dottori	0	19	2
affiliati	0	0	1
picchiatori	0	0	1
procuratore	0	3	11
x	0	0	1
laureata	2	30	1
sperimentalismo	0	0	2
comitato	0	2	3
collateralismo	0	2	3
comunismo	0	9	11
comunista	0	0	10
sposi	7	21	3
romano	0	0	1
cristianesimo	0	7	1
magistrato	0	2	2
razzisti	0	0	1
acquisti	1	10	2
capitale	0	2	2
greco	1	1	1
segretaria	0	0	1
dada	9	5	3
protestante	0	0	1
ricchi	0	3	4
democratici	0	3	3
presidenza	0	3	2
militarista	0	0	1
comunisti	1	27	69
ideologizzazione	0	0	1
bianconero	0	1	2
sostituto	0	0	2
governatore	4	26	22
paradiso	0	1	1
yuppie	0	0	1
geo	5	0	1
proibizionismo	0	4	2
juventino	0	1	6
numero	0	1	1
futurismo	0	4	3
mostri	0	0	1
comunismi	0	0	1
horror	0	3	1
garantisti	0	0	3
vedovo	1	2	1
fondamentalismo	0	28	2
feticista	0	0	1
tokyo	8	2	2
