NOUN	WIKICONLL	ITWAC	REPUBBLICA
autonomia	6	11	1
onda	2	0	2
industriale	0	0	1
trattativa	0	0	2
libertà	3	50	53
isolamento	1	10	5
clandestinità	8	23	18
libero	0	0	2
documentario	0	4	2
professionista	4	13	5
monopolio	0	9	12
privatizzazione	0	4	14
libera	0	0	2
eroi	0	1	1
fantasy	0	0	1
infermità	3	9	21
stagnazione	0	2	1
immunità	5	1	1
fiction	0	0	1
dilettanti	0	0	1
rigidità	0	0	1
paralisi	0	11	15
oscurità	2	29	8
conduttori	5	8	9
liberi	0	0	5
recluso	0	0	3
nomadi	19	6	4
abbandono	14	40	3
federalismo	0	1	2
professionisti	10	45	2
tranquillità	0	1	1
dei	1	17	2
disgrazia	1	0	1
corruzione	0	0	1
verità	0	1	1
confessione	0	6	1
esterni	0	0	1
prigioniero	0	0	2
detenzione	0	9	3
ciechi	0	2	1
vertice	0	0	3
incoscienza	6	39	13
analfabetismo	0	14	1
rimorchi	1	12	3
poveri	0	1	1
innocenza	0	0	1
collina	0	0	1
dirigenza	0	0	4
anarchia	2	6	3
guarigione	0	0	1
grandi	0	0	1
automatica	1	9	4
sconosciuto	1	0	4
emergenza	0	1	2
scissione	0	0	2
alleanza	0	0	1
colpi	0	0	1
privato	0	1	1
parroci	0	0	1
deserto	3	5	5
pensionato	0	0	1
cuore	0	0	1
progressista	0	0	1
uomo	0	0	1
indipendenza	13	10	7
lavoro	0	1	2
buio	0	0	1
assoluzione	0	0	2
evasione	0	0	1
reclusione	1	0	1
schiavi	2	1	1
volontariato	0	0	1
nudo	2	0	2
autogestione	0	1	1
pro	9	0	2
liquidazione	0	0	1
indigenza	0	3	2
esilio	2	0	1
vip	0	12	2
eroe	0	1	1
sommergibili	0	0	1
esonero	0	24	1
centro	0	2	4
democrazia	0	1	3
libere	1	0	6
clandestino	0	1	3
indifferenza	0	4	1
italiano	0	0	1
periferia	3	7	2
urbani	0	0	1
coma	1	1	4
ritiro	7	3	2
crollo	0	0	3
gran	0	0	5
pieno	0	0	2
vuoto	0	8	2
holding	0	0	1
grand	0	0	1
analfabeti	0	17	3
divinità	12	12	3
nuovo	0	1	1
sketch	0	0	1
novità	0	0	2
aperto	1	0	2
fallimento	0	4	3
allucinazione	0	0	1
onde	0	0	1
primavera	0	0	1
processi	0	0	1
crack	0	0	1
normalità	0	2	1
diretta	0	0	2
immobilità	0	1	4
comuni	0	0	1
presidenzialismo	3	57	71
abbraccio	0	0	1
crisi	0	2	3
infortunio	0	0	1
clandestine	0	0	5
automatiche	1	6	1
opaco	0	0	1
assedio	0	0	1
utilitaria	0	0	2
promessa	0	0	2
astratto	0	0	1
presidenza	0	0	1
privata	0	0	1
recessione	0	1	4
analfabeta	2	14	2
presidenziale	0	0	4
impotenza	0	0	3
affondamento	1	0	1
pericolo	0	0	1
successo	0	2	1
scala	0	1	1
presidenzialista	0	0	3
rottura	0	0	4
liberalizzazione	0	0	1
stranieri	0	0	1
colonia	0	2	1
bocciatura	0	1	1
professione	0	1	2
ottimisti	0	0	1
anonimato	0	5	2
prigioniera	0	0	1
cittadini	1	0	1
naufragio	0	0	2
paradiso	0	0	1
disastro	0	0	2
indipendente	8	0	1
rivoluzione	0	1	3
esoneri	0	17	1
città	0	0	1
pace	0	0	1
congresso	0	0	1
professionismo	4	3	2
morti	0	3	1
vivi	0	0	1
complicità	0	0	2
guerra	0	0	1
vittoria	0	4	2
veti	0	0	1
storica	0	0	2
oscuramento	0	1	1
leader	0	0	1
autobiografia	3	2	2
farsa	0	0	1
certezza	0	0	1
golpe	0	0	4
boss	0	1	1
immagini	0	1	2
plebiscito	0	0	1
illegalità	0	7	1
lusso	0	0	2
dio	17	28	4
permanenti	4	0	7
dèi	0	5	1
conferma	0	0	1
aziendale	0	0	1
debuttante	0	3	1
porno	0	1	1
papera	0	0	1
collisione	0	3	2
nuova	0	0	1
silenzio	0	1	1
controllo	0	0	2
ghetto	0	0	1
disimpegno	0	0	1
standard	3	1	1
verifica	0	1	1
monopolista	0	1	1
catastrofe	0	0	1
spogliarello	0	1	1
imputabilità	0	7	1
schiavitù	8	0	2
estasi	0	3	1
smentita	0	0	2
colpo	0	0	1
vergine	0	0	1
fisso	0	0	2
