NOUN	WIKICONLL	REPUBBLICA	ITWAC
chou	1	1	0
lai	0	1	0
presidente	0	1	0
d	0	1	0
impero	0	1	0
scudo	0	1	0
polo	0	1	0
questione	0	1	0
fu	1	3	0
feltri	0	2	0
candidati	0	1	0
tsung	1	0	0
chin	2	0	0
jen	2	0	0
zoo	1	0	0
ma	1	0	1
chien	1	0	0
shin	1	0	0
chen	6	0	0
yu	1	0	0
ki	1	0	0
do	2	0	0
ligier	0	0	2
pugno	0	0	1
l	0	0	5
ga	0	0	2
craxiani	0	0	1
redazione	0	0	1
sioni	0	0	1
sione	0	0	3
mandarini	0	0	3
sky	0	0	1
mare	0	0	1
sinistra	0	0	1
papa	0	0	1
dialetto	0	0	1
gruppo	0	0	1
cile	0	0	1
editore	0	0	1
partito	0	0	1
shan	0	0	1
marito	0	0	1
virtù	0	0	1
motorino	0	0	1
go	0	0	1
partiti	0	0	1
allenatore	0	0	1
movie	0	0	1
