NOUN	REPUBBLICA	WIKICONLL	ITWAC
regista	1	0	0
cardinale	1	0	0
signora	1	0	0
deputato	1	0	0
dodicenne	0	1	1
cavaliere	0	0	1
ventunenne	0	0	1
papa	0	0	1
trentenne	0	0	5
premier	0	0	2
commissario	0	0	1
uscita	0	0	1
diciottenne	0	0	3
presidente	0	0	2
applicabilità	0	0	1
capo	0	0	1
vice	0	0	3
sedicenne	0	0	1
ventenne	0	0	2
pubblicazione	0	0	1
marito	0	0	1
ventitreenne	0	0	1
compagna	0	0	1
scomparsa	0	0	1
quindicenne	0	0	1
evento	0	0	1
diciannovenne	0	0	3
disponibilità	0	0	1
venticinquenne	0	0	1
candidato	0	0	1
visto	0	0	2
morti	0	0	1
ventiduenne	0	0	1
lavoratori	0	0	1
ministro	0	0	1
assenza	0	0	1
esperti	0	0	1
ragazzo	0	0	1
lettori	0	0	1
