NOUN	WIKICONLL	REPUBBLICA	ITWAC
vecchio	1	13	0
tory	0	1	0
pignone	0	1	0
bruzzano	0	1	0
nuovo	0	2	0
la	0	1	0
il	1	2	0
wien	0	2	0
psi	1	0	2
atena	1	0	0
messico	1	0	0
ragazzo	1	0	0
insediamento	1	0	0
wilson	1	0	0
tipo	0	0	1
realismo	0	0	1
cucciolo	0	0	1
continente	0	0	1
ritorno	0	0	2
modo	0	0	1
segretario	0	0	1
circo	0	0	1
nome	0	0	1
valore	0	0	3
recupero	0	0	1
vita	0	0	1
forum	0	0	1
teatro	0	0	1
nuova	0	2	0
dimensione	0	1	0
stadio	0	1	0
vecchia	0	6	0
unità	0	2	0
pomerania	0	1	0
milano	0	1	0
dc	0	1	0
ulma	7	0	0
lingotto	1	0	0
chieti	1	0	0
gruppo	1	0	0
russia	1	0	0
sinistra	0	0	4
destra	0	0	1
regola	0	0	1
economia	0	0	2
mente	0	0	4
giunta	0	0	1
integrazione	0	0	2
evangelizzazione	0	0	3
sede	0	0	1
finestra	0	0	5
arte	0	0	2
amici	0	1	0
area	0	1	0
ambra	0	1	0
base	0	0	1
novità	0	0	1
normative	0	0	1
vecchi	0	2	0
nuovi	1	1	0
uomini	0	0	2
partiti	0	0	1
volti	0	0	1
registi	0	0	1
lavori	0	0	1
