NOUN	REPUBBLICA	WIKICONLL	ITWAC
maggiore	11	5	0
più	19	0	0
minore	3	0	0
peggiori	2	0	0
notte	1	0	1
verdi	4	0	3
possibile	1	0	0
rimpianto	3	0	4
futuro	1	0	0
peggiore	2	0	0
verde	1	0	54
mobile	1	0	0
protagonista	1	0	0
minoranza	1	0	0
critico	1	0	0
amico	1	0	1
n.	1	0	0
titolare	1	0	1
compito	1	0	0
vergine	0	1	5
volley	0	1	23
ambito	0	1	0
mancanza	0	1	0
ottimista	0	1	1
ottimo	0	0	33
contratti	0	0	1
priorità	0	0	2
giovinezza	0	0	1
seguito	0	0	2
fidato	0	0	1
brava	0	0	26
apertura	0	0	1
caratteristiche	0	0	1
all	0	0	1
legge	0	0	1
ganzo	0	0	3
ottimisti	0	0	2
richieste	0	0	1
pag.	0	0	1
confidenza	0	0	1
parte	0	0	1
pi	0	0	6
mitica	0	0	1
intesa	0	0	2
opaco	0	0	1
carico	0	0	1
buono	0	0	1
vuoto	0	0	1
mossa	0	0	1
pressione	0	0	1
particolare	0	0	1
fatto	0	0	1
attesa	0	0	4
sottomissione	0	0	1
divisa	0	0	1
fresca	0	0	2
velocità	0	0	1
star	0	0	1
procuratore	0	0	1
previsto	0	0	1
sospetti	0	0	2
compianto	0	0	1
richiesta	0	0	2
carne	0	0	1
entusiasti	0	0	1
perfetta	0	0	1
forza	0	0	1
rifugio	0	0	1
comodo	0	0	1
amati	0	0	1
redivivo	0	0	1
lucido	0	0	2
pci	0	0	2
rischio	0	0	1
visto	0	0	1
pensata	0	0	1
giovani	0	0	1
classici	0	0	1
citazioni	0	0	1
onde	0	0	1
fortunati	0	0	1
addio	0	0	1
piazzato	0	0	3
lingua	0	0	1
camera	0	0	1
amici	0	0	1
solido	0	0	2
scomparsa	0	0	1
anno	0	0	1
sorprendente	0	0	1
simpatici	0	0	1
diritto	0	0	1
fastidio	0	0	2
sabato	0	0	1
dodicenne	0	0	1
fine	0	0	1
intento	0	0	1
