NOUN	REPUBBLICA	WIKICONLL	ITWAC
strato	8	91	70
velo	2	0	0
muro	0	6	4
cornicione	0	7	0
manto	0	5	3
bordo	0	2	1
banco	0	1	0
involucro	0	3	1
isolamento	0	2	0
orizzonte	0	2	0
vetro	0	1	4
disco	0	2	0
periodo	0	0	5
booklet	0	0	21
volume	0	0	3
impegno	0	0	1
prodotto	0	0	1
spirito	0	0	1
tempo	0	0	3
materasso	0	0	1
appeal	0	0	3
piacere	0	0	1
libro	0	0	3
paziente	0	0	1
studio	0	0	1
carichi	0	0	1
bicchiere	0	0	1
tavolo	0	0	2
richiesta	0	0	2
piano	0	0	3
tessuto	0	0	1
citata	0	0	1
percorso	0	0	1
collo	0	0	1
oro	0	0	1
protagonista	0	0	1
valore	0	0	1
peso	0	0	1
filo	0	0	1
problema	0	0	1
re	0	0	1
poesie	0	0	1
ritiro	0	0	1
giornale	0	0	1
